Order_ID,Date,Region,Salesperson,Category,Product,Units,Unit_Price,Discount_Percent,Revenue,Payment_Method,Customer_Type
ORD0236,2026-01-05,Sur,Omar,Electronics,Monitor,12,101.04,0,1212.48,Online,Individual
ORD0186,2026-01-06,Muscat,Mariam,Accessories,USB Hub,4,14.63,0,58.52,Card,Individual
ORD0203,2026-01-06,Sohar,Fatma,Accessories,Laptop Stand,1,19.95,0,19.95,Card,Individual
ORD0006,2026-01-07,Muscat,Khalid,Accessories,USB Hub,11,14.98,10,148.3,Card,Business
ORD0011,2026-01-07,Salalah,Salim,Electronics,Webcam,7,35.23,0,246.61,Cash,Business
ORD0114,2026-01-08,Nizwa,Yusuf,Accessories,Power Bank,11,22.7,0,249.7,Card,Business
ORD0208,2026-01-08,Muscat,Mariam,Accessories,USB Hub,3,14.25,0,42.75,Card,Individual
ORD0015,2026-01-09,Sohar,Ahmed,Electronics,Headphones,10,29.84,5,283.48,Card,Business
ORD0085,2026-01-09,Nizwa,Huda,Accessories,Laptop Stand,1,19.74,0,19.74,Cash,Individual
ORD0050,2026-01-11,Muscat,Mariam,Office,Notebook Pack,9,6.08,5,51.98,Card,Individual
ORD0202,2026-01-11,Sohar,Fatma,Accessories,Laptop Stand,2,19.78,15,33.63,Online,Business
ORD0058,2026-01-12,Salalah,Noor,Office,Printer Paper,9,5.39,15,41.23,Card,Individual
ORD0130,2026-01-12,Muscat,Aisha,Office,Notebook Pack,10,6.33,5,60.13,Card,Business
ORD0098,2026-01-13,Muscat,Aisha,Office,Office Chair,11,67.93,0,747.23,Online,Individual
ORD0109,2026-01-13,Sur,Layla,Accessories,USB Hub,12,15.31,10,165.35,Cash,Business
ORD0136,2026-01-14,Muscat,Mariam,Accessories,Power Bank,12,22.95,5,261.63,Online,Business
ORD0104,2026-01-15,Sohar,Fatma,Electronics,Keyboard,1,21.88,5,20.79,Card,Business
ORD0225,2026-01-15,Muscat,Mariam,Accessories,Power Bank,11,25.14,0,276.54,Card,Individual
ORD0019,2026-01-17,Nizwa,Huda,Electronics,Headphones,12,27.34,10,295.27,Cash,Individual
ORD0105,2026-01-18,Sur,Omar,Electronics,Monitor,2,99.17,5,188.42,Cash,Individual
ORD0211,2026-01-19,Muscat,Khalid,Accessories,Mouse,12,12.52,0,150.24,Card,Individual
ORD0221,2026-01-19,Salalah,Noor,Electronics,Monitor,11,92.86,5,970.39,Online,Individual
ORD0126,2026-01-21,Nizwa,Yusuf,Office,Printer Paper,9,4.7,5,40.19,Cash,Individual
ORD0135,2026-01-22,Muscat,Khalid,Accessories,Laptop Stand,4,19.62,10,70.63,Online,Individual
ORD0240,2026-01-24,Muscat,Aisha,Accessories,Laptop Stand,4,19.76,10,71.14,Cash,Business
ORD0039,2026-01-25,Muscat,Aisha,Electronics,Headphones,12,26.72,5,304.61,Card,Business
ORD0097,2026-01-25,Salalah,Salim,Electronics,Headphones,4,28.71,5,109.1,Online,Business
ORD0052,2026-01-27,Sohar,Fatma,Accessories,USB Hub,7,15.71,0,109.97,Cash,Individual
ORD0082,2026-01-27,Nizwa,Yusuf,Accessories,Laptop Stand,3,20.15,0,60.45,Online,Individual
ORD0232,2026-01-28,Salalah,Salim,Accessories,Laptop Stand,2,19.51,5,37.07,Online,Individual
ORD0064,2026-01-29,Sur,Omar,Accessories,USB Hub,12,15.19,10,164.05,Card,Individual
ORD0116,2026-01-29,Sur,Omar,Electronics,Keyboard,4,23.68,5,89.98,Card,Individual
ORD0197,2026-01-29,Sohar,Fatma,Electronics,Webcam,3,37.78,0,113.34,Cash,Individual
ORD0048,2026-01-30,Sur,Omar,Electronics,Webcam,11,36.28,15,339.22,Online,Individual
ORD0141,2026-01-31,Sohar,Fatma,Office,Notebook Pack,8,5.78,5,43.93,Online,Individual
ORD0016,2026-02-01,Nizwa,Yusuf,Office,Office Chair,9,71.05,0,639.45,Cash,Individual
ORD0067,2026-02-01,Muscat,Aisha,Electronics,Webcam,5,37.73,0,188.65,Cash,Individual
ORD0122,2026-02-02,Sur,Layla,Electronics,Monitor,6,91.63,0,549.78,Card,Individual
ORD0171,2026-02-03,Sohar,Ahmed,Office,Office Chair,12,68.56,5,781.58,Cash,Individual
ORD0025,2026-02-04,Sur,Omar,Electronics,Webcam,1,34.13,0,34.13,Card,Individual
ORD0167,2026-02-04,Muscat,Khalid,Accessories,Laptop Stand,1,20.0,0,20.0,Cash,Individual
ORD0177,2026-02-04,Salalah,Noor,Accessories,Mouse,8,12.06,0,96.48,Online,Individual
ORD0179,2026-02-04,Sohar,Fatma,Office,Office Chair,8,71.72,0,573.76,Online,Individual
ORD0063,2026-02-05,Sur,Omar,Accessories,USB Hub,7,14.06,15,83.66,Online,Business
ORD0071,2026-02-06,Sohar,Fatma,Office,Desk Lamp,3,18.61,0,55.83,Online,Individual
ORD0095,2026-02-06,Muscat,Khalid,Office,Printer Paper,5,4.91,0,24.55,Online,Individual
ORD0009,2026-02-07,Salalah,Noor,Accessories,Power Bank,3,25.42,0,76.26,Online,Individual
ORD0151,2026-02-10,Nizwa,Yusuf,Office,Notebook Pack,6,6.29,0,37.74,Online,Individual
ORD0194,2026-02-10,Muscat,Khalid,Accessories,Power Bank,1,24.14,5,22.93,Card,Individual
ORD0212,2026-02-10,Salalah,Noor,Office,Office Chair,1,75.56,0,75.56,Cash,Individual
ORD0068,2026-02-12,Muscat,Mariam,Electronics,Monitor,7,102.06,5,678.7,Online,Business
ORD0133,2026-02-16,Muscat,Aisha,Electronics,Keyboard,2,22.89,0,45.78,Online,Individual
ORD0215,2026-02-16,Sohar,Fatma,Office,Desk Lamp,8,17.21,0,137.68,Cash,Individual
ORD0233,2026-02-16,Salalah,Noor,Electronics,Headphones,6,26.12,0,156.72,Online,Individual
ORD0195,2026-02-17,Sohar,Ahmed,Accessories,Laptop Stand,3,19.97,0,59.91,Card,Individual
ORD0201,2026-02-20,Sohar,Fatma,Electronics,Headphones,5,29.19,0,145.95,Card,Business
ORD0089,2026-02-21,Salalah,Salim,Accessories,Mouse,8,11.7,5,88.92,Card,Individual
ORD0182,2026-02-21,Sur,Layla,Office,Printer Paper,7,5.2,10,32.76,Cash,Individual
ORD0035,2026-02-22,Sur,Layla,Office,Office Chair,5,72.44,5,344.09,Card,Individual
ORD0128,2026-02-22,Muscat,Aisha,Accessories,USB Hub,12,14.61,5,166.55,Online,Individual
ORD0174,2026-02-22,Sur,Omar,Office,Desk Lamp,5,17.45,10,78.53,Card,Individual
ORD0013,2026-02-23,Salalah,Salim,Accessories,USB Hub,9,16.11,10,130.49,Card,Individual
ORD0083,2026-02-23,Muscat,Mariam,Office,Notebook Pack,4,5.81,10,20.92,Card,Individual
ORD0139,2026-02-23,Muscat,Aisha,Accessories,Power Bank,9,25.14,5,214.95,Online,Individual
ORD0014,2026-02-25,Sur,Omar,Accessories,Laptop Stand,4,21.56,0,86.24,Card,Individual
ORD0057,2026-02-25,Sur,Omar,Office,Office Chair,12,74.42,15,759.08,Card,Individual
ORD0170,2026-02-25,Sur,Layla,Accessories,Laptop Stand,6,20.26,0,121.56,Online,Business
ORD0196,2026-02-25,Nizwa,Yusuf,Accessories,Power Bank,5,22.34,0,111.7,Online,Individual
ORD0217,2026-02-26,Muscat,Khalid,Office,Desk Lamp,10,19.19,10,172.71,Online,Individual
ORD0021,2026-02-27,Muscat,Aisha,Electronics,Webcam,4,33.4,0,133.6,Card,Individual
ORD0032,2026-02-28,Salalah,Noor,Accessories,USB Hub,9,14.71,0,132.39,Online,Business
ORD0230,2026-03-01,Nizwa,Yusuf,Office,Office Chair,1,76.21,5,72.4,Cash,Business
ORD0096,2026-03-02,Muscat,Khalid,Accessories,Mouse,7,12.33,5,81.99,Card,Individual
ORD0163,2026-03-04,Sur,Layla,Accessories,Power Bank,5,25.36,0,126.8,Online,Individual
ORD0145,2026-03-05,Sur,Layla,Accessories,Power Bank,12,24.79,10,267.73,Online,Business
ORD0187,2026-03-05,Nizwa,Huda,Electronics,Webcam,9,33.11,10,268.19,Cash,Individual
ORD0142,2026-03-06,Sohar,Ahmed,Electronics,Keyboard,5,20.5,0,102.5,Card,Individual
ORD0106,2026-03-07,Salalah,Salim,Accessories,Laptop Stand,12,20.2,0,242.4,Card,Business
ORD0043,2026-03-08,Sur,Omar,Electronics,Monitor,7,101.65,15,604.82,Online,Individual
ORD0044,2026-03-08,Muscat,Aisha,Accessories,Mouse,1,12.17,0,12.17,Online,Business
ORD0169,2026-03-09,Salalah,Salim,Electronics,Headphones,7,26.75,0,187.25,Card,Individual
ORD0149,2026-03-10,Salalah,Salim,Accessories,USB Hub,10,14.91,5,141.64,Online,Business
ORD0218,2026-03-10,Sohar,Fatma,Electronics,Monitor,11,97.24,0,1069.64,Cash,Business
ORD0049,2026-03-11,Sohar,Ahmed,Electronics,Webcam,7,34.93,0,244.51,Online,Individual
ORD0132,2026-03-11,Muscat,Aisha,Office,Notebook Pack,12,5.97,0,71.64,Online,Individual
ORD0143,2026-03-12,Sohar,Ahmed,Electronics,Keyboard,3,20.74,0,62.22,Online,Individual
ORD0226,2026-03-12,Sohar,Ahmed,Office,Office Chair,1,71.13,10,64.02,Card,Individual
