Student_ID,Department,Study_Level,Study_Hours,Attendance,Final_Score
S001,Architecture,4,5.1,87,88
S002,Mechanical,1,5.5,73,75
S003,ECE,1,3.1,76,72
S004,Mechanical,2,6.4,91,84
S005,Architecture,3,4.7,77,70
S006,Architecture,4,1.4,88,63
S007,Petroleum,2,1.8,71,60
S008,Petroleum,4,5.0,70,81
S009,ECE,1,3.2,77,73
S010,Civil,4,5.6,70,90
S011,Mechanical,2,8.1,70,83
S012,Mechanical,1,3.3,76,67
S013,Civil,4,7.2,71,88
S014,ECE,2,5.3,89,86
S015,ECE,1,4.5,78,69
S016,Civil,2,4.0,63,74
S017,Mechanical,1,7.4,80,88
S018,ECE,3,5.9,97,84
S019,Mechanical,4,6.9,83,79
S020,Architecture,3,6.8,68,87
S021,Petroleum,4,6.2,84,72
S022,Mechanical,2,3.8,64,75
S023,ECE,2,5.0,76,95
S024,Civil,1,4.7,98,78
S025,Petroleum,1,6.3,68,79
S026,Mechanical,4,3.9,88,81
S027,Petroleum,1,4.7,92,89
S028,Mechanical,3,7.2,88,89
S029,Mechanical,1,3.0,72,72
S030,Architecture,4,6.6,75,84
S031,Civil,4,5.0,76,77
S032,Mechanical,1,4.9,78,74
S033,Mechanical,3,5.3,91,79
S034,Mechanical,2,3.5,87,82
S035,Petroleum,3,6.6,87,78
S036,ECE,2,2.1,80,68
S037,ECE,1,5.6,85,83
S038,Civil,1,4.7,82,74
S039,Mechanical,2,4.4,79,78
S040,Mechanical,2,5.7,88,92
S041,Mechanical,2,5.8,82,84
S042,Petroleum,2,6.6,100,94
S043,Petroleum,2,2.1,83,61
S044,Architecture,4,5.1,71,70
S045,Architecture,2,5.8,79,77
S046,Architecture,1,1.6,82,72
S047,Civil,3,3.7,76,75
S048,Civil,4,4.1,91,79
S049,Civil,1,5.0,81,73
S050,Architecture,2,6.3,82,90
S051,Petroleum,3,5.9,80,89
S052,Petroleum,4,4.1,94,77
S053,Architecture,1,2.5,99,83
S054,Mechanical,2,4.5,71,80
S055,ECE,2,2.8,87,67
S056,Architecture,2,9.0,92,100
S057,ECE,2,3.9,80,77
S058,Petroleum,2,2.8,79,74
S059,Petroleum,2,5.9,72,88
S060,Petroleum,2,6.5,92,84
S061,Civil,4,3.6,67,66
S062,Mechanical,2,2.0,85,74
S063,Mechanical,2,5.0,87,80
S064,Mechanical,3,5.4,82,80
S065,Architecture,3,0.5,72,51
S066,Mechanical,1,3.8,81,70
S067,Civil,4,6.0,78,73
S068,Mechanical,4,5.7,81,75
S069,Mechanical,2,5.6,82,78
S070,Mechanical,3,6.7,95,81
S071,Petroleum,2,3.3,98,71
S072,Mechanical,3,4.3,71,62
S073,Petroleum,3,3.3,85,67
S074,ECE,3,6.7,89,82
S075,Petroleum,4,5.1,78,77
S076,Civil,3,6.5,71,79
S077,Civil,1,2.7,81,62
S078,ECE,4,5.5,85,78
S079,Petroleum,1,4.5,68,74
S080,Civil,1,5.5,85,74
S081,Petroleum,3,5.5,67,76
S082,Civil,3,5.6,88,78
S083,Architecture,1,3.3,97,81
S084,ECE,2,8.0,70,89
S085,Mechanical,4,7.7,73,87
S086,Petroleum,4,5.2,86,78
S087,ECE,1,3.5,100,94
S088,Petroleum,3,4.4,81,79
S089,ECE,4,5.0,80,75
S090,Mechanical,1,7.0,98,91
S091,Architecture,4,2.1,86,77
